id	author	pubb_w	pubbl_it	pubbl_la	period	source	school
207	Giacomo Leopardi	Discorso di un italiano intorno alla poesia romantica	Discorso_di_un_italiano_intorno_alla_poesia_romantica	-	Primo Ottocento	it	-
208	Giacomo Leopardi	Zibaldone	Zibaldone	-	Primo Ottocento	it	-
209	Giacomo Leopardi	Canti	Canti	-	Primo Ottocento	it	-
210	Giacomo Leopardi	Il_passero_solitario	Il_passero_solitario	-	Primo Ottocento	it	-
211	Giacomo Leopardi	L'infinito	L'infinito	-	Primo Ottocento	it	-
212	Giacomo Leopardi	Alla_luna	Alla_luna	-	Primo Ottocento	it	-
213	Giacomo Leopardi	La_sera_del_dì_di_festa	La_sera_del_dì_di_festa	-	Primo Ottocento	it	-
214	Giacomo Leopardi	Ad Angelo Mai	Ad Angelo Mai	-	Primo Ottocento	it	-
215	Giacomo Leopardi	Ultimo_canto_di_Saffo	Ultimo_canto_di_Saffo	-	Primo Ottocento	it	-
216	Giacomo Leopardi	A_Silvia	A_Silvia	-	Primo Ottocento	it	-
217	Giacomo Leopardi	La_quiete_dopo_la_tempesta	La_quiete_dopo_la_tempesta	-	Primo Ottocento	it	-
218	Giacomo Leopardi	Il_sabato_del_villaggio	Il_sabato_del_villaggio	-	Primo Ottocento	it	-
219	Giacomo Leopardi	Canto_notturno_di_un_pastore_errante_dell'Asia	Canto_notturno_di_un_pastore_errante_dell'Asia	-	Primo Ottocento	it	-
220	Giacomo Leopardi	A_se_stesso	A_se_stesso	-	Primo Ottocento	it	-
221	Giacomo Leopardi	La_ginestra	La_ginestra	-	Primo Ottocento	it	-
222	Giacomo Leopardi	Operette_morali	Operette_morali	-	Primo Ottocento	it	-
223	Giacomo Leopardi	Analisi_delle_Operette_morali		-	Primo Ottocento	it	-
224	Giacomo Leopardi	Appendice_alle_Operette_morali		-	Primo Ottocento	it	-
225	Giacomo Leopardi	Paralipomeni_della_Batracomiomachia	Paralipomeni_della_Batracomiomachia	-	Primo Ottocento	it	-
226	Giovanni Verga	Tecnica_narrativa_di_Giovanni_Verga		-	Secondo Ottocento	it	-
227	Giovanni Verga	Opere_e_poetica_di_Giovanni_Verga		-	Secondo Ottocento	it	-
228	Giovanni Verga	Vita_dei_campi (Novelle)	Vita_dei_campi	-	Secondo Ottocento	it	-
229	Giovanni Verga	Rosso_Malpelo	Rosso_Malpelo	-	Secondo Ottocento	it	-
230	Giovanni Verga	Novelle rusticane	Novelle_rusticane	-	Secondo Ottocento	it	-
231	Giovanni Verga	La_roba	La_roba	-	Secondo Ottocento	it	-
232	Giovanni Verga	Ciclo_dei_Vinti	-	-	Secondo Ottocento	it	-
233	Giovanni Verga	I_Malavoglia	I_Malavoglia	-	Secondo Ottocento	it	-
234	Giovanni Verga	Mastro-don_Gesualdo	Mastro-don_Gesualdo	-	Secondo Ottocento	it	-
235	Antonio Fogazzaro	Piccolo_mondo_antico	Piccolo_mondo_antico	-	Secondo Ottocento	it	-
236	Antonio Fogazzaro	Piccolo_mondo_moderno	Piccolo_mondo_moderno	-	Secondo Ottocento	it	-
237	Edmondo_De_Amicis	Cuore	Cuore_(1889)	-	Secondo Ottocento	it	-
238	Carlo_Collodi	Pinocchio	Le_avventure_di_Pinocchio	-	Secondo Ottocento	it	-
239	Giosuè Carducci	Odi_barbare	Odi_barbare	-	Secondo Ottocento	it	-
240	Giosuè Carducci	Rime_nuove	Rime_nuove	-	Secondo Ottocento	it	-
241	Giosuè Carducci	Pianto_antico	Pianto_antico	-	Secondo Ottocento	it	-
242	Giovanni Pascoli	Myricae	Myricae	-	Secondo Ottocento	it	-
243	Giovanni Pascoli	Il_fanciullino	Il_fanciullino	-	Secondo Ottocento	it	-
244	Giovanni Pascoli	Canti_di_Castelvecchio	Canti_di_Castelvecchio	-	Secondo Ottocento	it	-
