id	subject	school	theme	argument	exhisting	article	average_daily_visit	Visite da 1/7/2015 al 31/05/2020	Media visite giornaliere 2019	size	notes	images	incipit_size	incipit_on_size	issues	Fonte necessaria	Chiarire	discussion_size	year	references	first_edit	days
533	Cittadinanza e costituzione	Superiori	Organizzazioni internazionali		1	Assemblea generale delle Nazioni Unite	95	170562	122	32143	0	2	737	2.29	0	0	0	1428	0	0	2004-12-06	5656
588	Diritto e Economia	Superiori	Soggetti del diritto		1	Assenza	9	16737	9	3167	0	0	619	19.55	0	0	0	49	2.1	1	2010-07-15	3609
2651	Storia	Superiori	Antichità	Gli assiri	1	Assiria	215	386813	213	41248	5	9	1261	3.06	0	0	0	4383	???	18	???	#VALUE!
590	Diritto e Economia	Superiori	Soggetti del diritto		1	Associazione (diritto)	174	312095	145	17535	2	0	219	1.25	0	0	0	1595	2.1	2	2005-08-04	5415
3315	Storia	Superiori	XX-XXI secolo	Legge La Torre	1	Associazione_di_tipo_mafioso	88	158720	92	5830	0	0	436	7.48	0	0	0	1237	???	0	???	#VALUE!
3094	Storia	Superiori	XVIII-XIX secolo	Prima internazionale	1	Associazione_internazionale_dei_lavoratori	92	165739	103	16190	3	3	1037	6.41	0	0	0	1669	???	13	???	#VALUE!
2933	Storia	Superiori	XVI-XVII secolo	Monarca assoluto	1	Assolutismo_monarchico	217	390259	219	11793	13	2	1289	10.93	0	0	0	2391	???	2	2004-07-04	5811
1371	Grammatica italiana		Punteggiatura	Asterisco	1	Asterisco	46	82015	44	5107	1	3	396	7.75	1	0	0	0	???	0	2006-08-20	5034
2582	Scienze	Medie	Corpi celesti		1	Asteroide	185	331762	198	23468	8	5	1486	6.33	0	0	0	3459	1	0	2003-08-17	6133
3510	Storia dell'arte	Superiori	Il primo Novecento		1	Astrattismo	256	459298	236	18347	6	3	1291	7.04	0	0	0	5172	???	8	2007-01-25	4876
1729	Informatica	Superiori	Programmazione		1	Astrazione (informatica)	24	42692	25	20571	0	0	257	1.25	1	0	0	41	2	0	2006-10-29	4964
2260	Letteratura latina	Superiori	III - II sec. a.Ch.n.	Il teatro Romano arcaico	1	Atellana	41	74066	43	3527	2	0	245	6.95	0	1	0	192	2.3	0	2005-11-15	5312
2675	Storia	Superiori	Grecia e Italia preromana	Atene	1	Atene_(città_antica)	168	301808	182	28209	7	2	997	3.53	1	0	0	1710	???	5	???	#VALUE!
2312	Scienze della Terra	Superiori	Atmosfera e clima		1	Atmosfera terrestre	327	587729	286	28626	9	3	887	3.10	0	3	0	2914	2	1	2006-10-06	4987
783	Filosofia	Superiori	Filosofia nella Grecia classica		1	Atomismo	62	112162	54	43059	17	0	317	0.74	0	0	0	2790	2.3	15	2004-08-28	5756
